"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"scala.collection.mutable.ListBuffer.$minus$eq()";"0.00793911";"2036.668 ms";"2036.668 ms";"2036.668 ms";"2036.668 ms";"11"
"scala.collection.AbstractIterable.drop()";"0.007387616";"1895.19 ms";"1895.19 ms";"1895.19 ms";"1895.19 ms";"11"
"scala.collection.immutable.List$.apply()";"0.0070508644";"1808.801 ms";"1808.801 ms";"1808.801 ms";"1808.801 ms";"9"
"scala.collection.AbstractIterator.toList()";"0.007049699";"1808.502 ms";"1808.502 ms";"1808.502 ms";"1808.502 ms";"9"
"scala.collection.AbstractSeq.equals()";"0.0069854623";"1792.023 ms";"1792.023 ms";"1792.023 ms";"1792.023 ms";"9"
"org.apache.spark.rdd.RDD.collect()";"0.006974891";"1789.311 ms";"479.173 ms";"1789.311 ms";"479.173 ms";"8"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1.apply()";"0.006441839";"1652.564 ms";"1652.564 ms";"62359.355 ms";"57200.496 ms";"632"
"scala.collection.immutable.List.contains()";"0.00640149";"1642.213 ms";"1642.213 ms";"1642.213 ms";"1642.213 ms";"9"
"org.apache.spark.broadcast.Broadcast.value()";"0.0046699047";"1197.999 ms";"1197.999 ms";"1197.999 ms";"1197.999 ms";"6"
"scala.collection.TraversableLike$WithFilter.foreach()";"0.004383852";"1124.616 ms";"1124.616 ms";"79089.992 ms";"73950.16 ms";"388"
"ar.edu.ungs.yamiko.ga.toolkit.IntegerStaticHelper.create()";"0.004340805";"1113.573 ms";"1113.573 ms";"2506.021 ms";"2120.899 ms";"24"
"scala.Predef$.println()";"0.003650403";"936.46 ms";"780.395 ms";"936.46 ms";"780.395 ms";"6"
"scala.collection.JavaConversions$.bufferAsJavaList()";"0.0033121386";"849.683 ms";"849.683 ms";"849.683 ms";"849.683 ms";"4"
"scala.collection.immutable.List.length()";"0.003140463";"805.642 ms";"805.642 ms";"805.642 ms";"805.642 ms";"4"
"java.util.AbstractCollection.addAll()";"0.0031291663";"802.744 ms";"802.744 ms";"802.744 ms";"802.744 ms";"4"
